รหัสสาขา,ชื่อสาขา,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,สถานะ
CJX00053,เปโตร-ดงเกตุ,สามพราน,นครปฐม,13.71795,100.228837,Active store
CJX00054,วัดบางนางลี่ใหญ่,อัมพวา,สมุทรสงคราม,13.419527,99.957717,Active store
CJX00055,โคกโคเฒ่า,เมืองสุพรรณบุรี,สุพรรณบุรี,14.460557,100.186013,Active store
CJX00056,วัดใหญ่ชัยมงคล,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.34386,100.590048,Active store
CJX00057,บางซ้าย,บางซ้าย,พระนครศรีอยุธยา,14.333952,100.302541,Active store
CJX00058,ลาดชะโด,ผักไห่,พระนครศรีอยุธยา,14.463126,100.318646,Active store
CJX00059,บางกระสั้น,บางปะอิน,พระนครศรีอยุธยา,14.189448,100.546274,Active store
CJX00060,สะพานไทย,บางบาล,พระนครศรีอยุธยา,14.360142,100.484793,Active store
CJX00061,คลองจิก,บางปะอิน,พระนครศรีอยุธยา,14.219674,100.597419,Active store
CJX00062,ตลาดนัดโรงสี อุทัย,อุทัย,พระนครศรีอยุธยา,14.363094,100.667294,Active store
CJX00063,พระอินทร์ราชา ซอย 3,บางปะอิน,พระนครศรีอยุธยา,14.146279,100.616468,Active store
CJX00064,ตลาดนัดบัวศรี,กระทุ่มแบน,สมุทรสาคร,13.624886,100.280659,Active store
CJX00065,วัดห้วยปลาดุก,เมืองราชบุรี,ราชบุรี,13.546639,99.728444,Active store
CJX00066,เอื้ออาทรศาลายา 3,สามพราน,นครปฐม,13.802235,100.272623,Active store
CJX00067,พุพลับ,ปากท่อ,ราชบุรี,13.415966,99.67706,Cancel
CJX00068,ตลาดเกรียบ,บางปะอิน,พระนครศรีอยุธยา,14.278108,100.570332,Active store
CJX00069,ตะวันออกบ้านบึง,บ้านบึง,ชลบุรี,13.301688,101.118997,Active store
CJX00070,บ้านสวนซอยเมรี่,เมืองชลบุรี,ชลบุรี,13.359605,100.994974,Active store
CJX00071,ศรีด่าน 22,บางพลี,สมุทรปราการ,13.642761,100.651432,Active store
CJX00072,หมู่บ้านทับทอง,บางเสาธง,สมุทรปราการ,13.5674,100.822903,Active store
CJX00073,ชุมชนวังน้ำขาว,สามพราน,นครปฐม,13.714955,100.162217,Active store
CJX00074,ซอยบางเลน 21,บางใหญ่,นนทบุรี,13.843359,100.435782,Active store
CJX00075,ตลาดพึ่งสุข,ลำลูกกา,ปทุมธานี,13.964271,100.738027,Active store
CJX00076,พหลโยธิน 66,ลำลูกกา,ปทุมธานี,13.948128,100.625551,Active store
CJX00077,บุญศิริ,เมืองสมุทรปราการ,สมุทรปราการ,13.609334,100.599241,Active store
CJX00078,ชุมชนศุภมงคล,สามพราน,นครปฐม,13.749954,100.218058,Active store
CJX00079,ชุมชนบ้านสิงห์,โพธาราม,ราชบุรี,13.670992,99.879169,Active store
CJX00080,ชุมชนตะเคียนเตี้ย,บางละมุง,ชลบุรี,13.033011,100.943894,Active store
CJX00081,แจ้งวัฒนะ 6,หลักสี่,กรุงเทพมหานคร,13.883864,100.587061,Active store
CJX00082,สุเหร่าคลองหนึ่ง,คลองสามวา,กรุงเทพมหานคร,13.842401,100.707154,Active store
CJX00083,แปลงยาว,แปลงยาว,ฉะเชิงเทรา,13.605877,101.264662,Active store
CJX00084,แสนมณี อะคิระ,พานทอง,ชลบุรี,13.468528,101.022556,Active store
CJX00085,รามอินทรา 65 แยก 2,บางเขน,กรุงเทพมหานคร,13.850327,100.651842,Active store
CJX00086,ตลาดขนส่ง,หนองจอก,กรุงเทพมหานคร,13.803417,100.871528,Active store
CJX00087,ด่านสำโรง 42,เมืองสมุทรปราการ,สมุทรปราการ,13.638655,100.614652,Active store
CJX00088,บางปู 69,เมืองสมุทรปราการ,สมุทรปราการ,13.537331,100.630331,Active store
CJX00089,การเคหะบ้านโพธิ์,บ้านโพธิ์,ฉะเชิงเทรา,13.61506,101.027956,Active store
CJX00090,ซอยรังสิต-นครนายก 13,ธัญบุรี,ปทุมธานี,13.990704,100.624089,Active store
CJX00091,ซอยหมอย้อย,ศรีราชา,ชลบุรี,13.14637,100.9507,Active store
CJX00092,หมู่บ้านมิตรประชา,ปากเกร็ด,นนทบุรี,13.936078,100.540305,Active store
CJX00093,บงกช 14,คลองหลวง,ปทุมธานี,14.039844,100.641819,Active store
CJX00094,ซอยสุภาพงษ์ 3,ประเวศ,กรุงเทพมหานคร,13.691989,100.639459,Active store
CJX00095,เทศบาลวิหารแดง ซอย 5,วิหารแดง,สระบุรี,14.347368,100.99001,Active store
